Id,SalePrice
1461,126107.33666666667
1462,155662.32333333333
1463,182563.35
1464,182900.09333333332
1465,195793.75666666665
1466,182817.57333333333
1467,171408.54333333333
1468,174485.83333333334
1469,180811.77
1470,126425.78
1471,195095.42
1472,96975.33333333333
1473,98138.16666666667
1474,153941.17666666667
1475,145017.56333333332
1476,403613.3433333333
1477,253117.55
1478,301439.2866666667
1479,253551.04
1480,440654.3933333333
1481,309615.56
1482,206966.48666666666
1483,172602.84
1484,177470.16333333333
1485,174965.68333333332
1486,196476.16
1487,324884.68333333335
1488,239214.66
1489,211665.79666666666
1490,198336.47333333333
1491,192448.38333333333
1492,89941.33666666667
1493,173939.30666666667
1494,296790.88666666666
1495,295030.47
1496,227156.34333333332
1497,194536.90666666668
1498,153452.59666666668
1499,153314.13
1500,152230.37333333332
1501,173179.22666666665
1502,166929.97666666665
1503,291744.48
1504,230465.25333333333
1505,218076.14
1506,180031.40666666668
1507,216828.57
1508,200309.23
1509,163262.91666666666
1510,151528.24666666667
1511,151030.45666666667
1512,171231.98666666666
1513,146546.71666666667
1514,155441.61666666667
1515,174942.12
1516,160639.86333333334
1517,156089.16333333333
1518,126514.62
1519,228926.07333333333
1520,138741.16666666666
1521,143763.27333333335
1522,158247.83333333334
1523,113481.15666666666
1524,126164.00666666667
1525,126177.48333333334
1526,129219.08333333333
1527,105103.82333333333
1528,126788.74666666667
1529,142388.41333333333
1530,168915.91666666666
1531,135463.71333333335
1532,103511.68666666666
1533,148701.62666666668
1534,117018.22
1535,160539.64
1536,116187.28333333334
1537,74966.93333333333
1538,181394.03666666665
1539,249004.84
1540,114879.17666666667
1541,148865.41666666666
1542,144242.48
1543,209757.63666666666
1544,77489.17
1545,106407.75666666667
1546,123516.92
1547,143654.36666666667
1548,136362.18666666668
1549,114783.64666666667
1550,139760.74
1551,113486.17333333334
1552,148319.44333333333
1553,145941.24
1554,112907.62
1555,171630.34333333332
1556,101998.10666666667
1557,123524.48333333334
1558,94547.04333333333
1559,121045.12666666666
1560,153880.27666666667
1561,154334.55
1562,126735.46666666666
1563,123540.33
1564,157331.19666666666
1565,159666.29333333333
1566,227389.1
1567,78323.08666666667
1568,224515.06333333332
1569,156134.13666666666
1570,136493.2
1571,133469.13666666666
1572,145607.48
1573,237091.81
1574,122432.69333333333
1575,213241.61666666667
1576,217175.76
1577,206134.61333333334
1578,148100.16
1579,144617.3
1580,191645.12333333332
1581,138059.19333333333
1582,127883.69333333333
1583,324497.4033333333
1584,237256.89
1585,140416.66666666666
1586,73877.08
1587,112726.62
1588,150675.29
1589,102158.87666666666
1590,134991.80666666667
1591,102823.39
1592,119679.73333333334
1593,116353.39666666667
1594,151728.83666666667
1595,123054.70333333334
1596,224902.72333333333
1597,168937.79
1598,195187.25666666665
1599,218853.05333333334
1600,193836.30666666667
1601,80901.59
1602,116335.98666666666
1603,95148.72333333333
1604,282443.06333333335
1605,247458.55666666667
1606,168395.99333333335
1607,158297.08333333334
1608,209969.32666666666
1609,195289.24333333335
1610,161064.72666666665
1611,151764.70333333334
1612,164050.75333333333
1613,160594.43
1614,115981.95
1615,90105.16666666667
1616,84434.83333333333
1617,89662.77666666667
1618,127934.64333333333
1619,130394.44333333333
1620,149530.26666666666
1621,135087.94666666666
1622,156475.19333333333
1623,292871.5733333333
1624,215349.36333333334
1625,130911.52
1626,173593.71666666667
1627,188905.83
1628,277805.61333333334
1629,178356.50666666665
1630,355676.7
1631,217123.91333333333
1632,242359.09
1633,170533.44
1634,181908.07333333333
1635,179656.96
1636,160332.28666666665
1637,177332.52333333335
1638,222792.86
1639,177425.33333333334
1640,254350.77
1641,186613.24666666667
1642,227654.35666666666
1643,223713.84333333332
1644,225193.62666666668
1645,179601.05333333334
1646,152091.66666666666
1647,165045.66666666666
1648,138293.12666666668
1649,140647.16666666666
1650,124433.06333333334
1651,125227.41
1652,94200.66666666667
1653,98834.16666666667
1654,157743.84
1655,157921.73333333334
1656,151682.91
1657,154006.65
1658,154876.69
1659,148038.24
1660,151531.54
1661,439048.50666666665
1662,383237.25666666665
1663,376593.37666666665
